frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
11,3906,75621,74355,1,4165,82409,473087,1
12,3647,76224,73106,1,3641,11965,408927,2
13,3370,76545,80187,1,3748,15486,399236,1
14,3369,70525,79468,1,5046,8349,392796,1
15,3726,70051,79072,1,3078,13856,401250,1
16,3525,69370,77879,2,3140,59990,451426,1
17,3219,78370,77518,3,7160,13847,413950,1
18,4793,73087,77549,1,4699,61248,454431,1
19,4099,74871,78990,1,5351,11608,406485,1
20,3620,74725,76774,1,2961,10869,400948,1
21,4078,72191,82911,1,4851,13956,410172,1
22,3087,74502,80743,1,4612,72751,472995,1
23,3267,76726,74156,1,3531,8425,407122,1
24,4647,71649,82064,1,3745,8793,406381,1
25,4175,78375,80461,1,8076,10403,416149,1
26,4722,75148,81903,2,3806,8526,409086,1
27,13311,60361,78946,1,3869,15195,414750,1
28,4126,78172,78814,1,3250,63297,467134,1
29,3607,76333,76692,1,6526,18054,419338,1
30,3335,78457,83290,1,4959,8656,411504,1
31,4314,74027,75190,1,7729,8901,407539,1
32,3425,75177,77622,1,3668,11075,404705,1
33,3452,74393,79216,1,3987,24917,419323,1
34,5879,75377,78196,1,4931,10908,406143,2
35,3702,72099,77392,1,3895,32075,422097,1
36,3592,73288,77748,1,4515,77358,469746,1
37,6374,73922,73922,1,3770,8883,405280,1
38,5350,70942,79298,2,7587,9108,399923,1
39,3362,74088,78111,1,3740,12851,401449,1
40,3555,73962,78247,1,4146,7329,396898,1
41,4413,68591,81265,1,4804,9183,402886,1
42,3412,75967,75981,1,5151,10593,407385,1
43,3263,75248,73581,1,3659,7220,396530,1
44,3689,74947,78391,1,3382,11955,400579,1
45,4614,74986,80799,2,4490,71300,462919,1
46,3574,72251,74769,1,3985,8669,395775,1
47,3637,70206,78341,1,4828,9168,398467,1
48,3255,74921,74236,1,4870,8391,397979,1
49,3462,77155,81250,1,3609,7009,398158,1
50,4460,69919,75335,1,2817,10828,395523,1
51,4910,72993,78351,1,4376,8551,398463,1
52,3650,70561,79623,1,3326,8521,398958,1
53,3575,77927,79197,1,4864,8673,405451,1
54,4104,70639,78156,1,3327,9308,400865,1
55,3253,75477,79166,1,5283,10868,408608,1
56,3659,75569,78516,1,3115,50536,445671,1
57,4142,74299,80953,0,3680,7511,404598,1
58,3186,74934,79458,1,5310,7506,407075,1
59,4330,73990,76869,1,4276,7459,404564,1
60,3495,75628,76398,1,3555,7253,401521,1
61,3350,77209,78778,1,4026,8960,403161,1
62,3728,75044,80070,1,3927,7779,401263,1
63,3503,74490,82543,1,4343,11208,408705,1
64,3878,71445,79123,1,4154,13288,411519,1
65,3305,75551,74990,1,4169,9531,407269,1
66,4009,75835,76253,1,4984,61273,457023,1
67,4932,76871,74459,1,4389,13014,402335,1
68,4547,73905,81627,1,4518,8646,397641,1
69,3593,71253,72816,0,4778,7906,391292,1
70,3569,72463,77850,1,3912,9527,394788,1
71,3696,70781,73759,1,4265,9776,392797,1
72,5216,75627,85955,1,4218,7559,401550,1
73,4283,68156,89106,1,4053,10688,412549,1
74,3799,73973,79535,1,4088,8776,417675,1
75,4268,69961,74674,1,4447,8526,414284,1
76,5188,80175,79326,1,4455,9206,419918,1
77,3706,86190,77632,0,4954,10302,413621,0
78,3697,74434,75547,1,5054,8943,397786,1
79,3531,70731,79187,0,4838,53740,443222,1
80,4312,74711,75539,1,4872,11085,401471,1
81,3302,74235,81151,2,4958,10248,402787,1
82,3560,71621,84279,1,4410,8107,406630,1
83,3404,75817,85655,1,3960,7640,416027,1
84,3989,71540,83534,0,4092,7791,420322,1
85,9817,70962,81948,1,4387,10234,429367,1
86,3564,80501,78741,0,4522,9118,426143,0
87,4560,80964,73240,1,3500,11050,416011,1
88,4233,79526,77727,1,4791,16515,414516,1
89,3636,77464,75930,1,5691,38307,429102,1
90,3772,74304,80660,1,5069,9681,399122,1
91,3608,70677,79836,0,5017,18785,409566,1
92,4194,71811,81976,1,4016,66599,463697,1
93,3906,71856,79022,1,5094,8348,409272,1
94,3352,77156,78522,1,3475,13924,415774,1
95,3518,76426,75705,0,3482,34232,431203,0
96,3231,78406,76815,1,3879,7280,401330,1
97,4535,73815,79565,0,4034,8286,399952,1
98,3851,74746,78722,0,3307,7270,398378,0
99,3682,72215,80580,1,5879,13590,409025,1
100,4424,71768,124092,3,5519,10598,453501,1
101,4618,75264,108830,0,4825,20476,494917,0
102,4462,73843,77006,1,2881,8129,477326,2
103,3437,76041,81318,1,3650,7918,480681,1
104,4053,122743,74060,0,3804,9699,476995,0
105,4942,100727,74502,1,8587,9643,429166,1
106,4182,73042,80347,1,4654,72531,462525,2
107,4261,75919,72835,1,5837,54622,445253,2
108,3652,70302,84078,1,5050,10601,399907,1
109,4532,69511,85755,0,3471,7860,406948,0
110,4599,75337,77902,0,3803,20688,423618,0
111,4627,67760,75868,1,4958,19315,418996,1
112,3344,80699,76112,0,3567,8258,410125,0
113,6328,80110,78581,0,3906,17368,413851,0
114,3636,73168,82243,1,4241,14866,407249,1
115,5337,70101,81601,0,3866,28232,424659,0
116,3758,72666,77974,0,4699,8388,408048,0
117,3745,74758,72161,0,4107,9618,404200,1
118,4364,77186,86292,0,4869,15316,418193,0
119,3425,78490,73280,1,5263,7929,402698,1
120,3328,73906,79623,1,4006,8899,399928,1
121,3379,68214,80210,1,5127,65859,460637,1
122,3548,82838,77004,0,5130,19811,419878,0
123,4728,68230,77497,0,3438,9584,398687,0
124,3667,76397,77704,1,3910,17904,411997,1
125,3338,75988,76422,1,3909,10517,400786,1
126,3667,72897,76274,0,4033,9965,397083,0
127,3721,74193,98819,0,3846,12454,421435,0
128,3458,74208,77863,1,3721,8452,417092,3
129,3678,72538,80904,1,5054,11268,424239,2
130,3385,73860,92754,0,4144,9508,437873,0
131,6682,90435,81959,1,7048,9590,445218,2
132,4096,74018,81825,1,2803,9611,425548,1
133,4513,75096,78199,1,4976,7250,425080,1
134,3451,89961,77458,1,3907,7163,421601,1
135,3579,77650,75435,1,5058,7527,404881,1
136,4889,76776,80099,0,2837,7371,401070,0
137,4156,72988,77646,0,4057,64923,455459,0
138,4026,73681,75810,1,3879,37491,426339,1
139,3779,71523,76802,0,4841,10856,399535,0
140,3488,76002,75514,1,4238,7950,396051,2
141,4177,73570,78338,0,4858,17505,404698,0
142,4057,70909,77103,0,3497,12706,397533,0
143,3869,73616,73287,0,2980,33131,415570,0
144,4168,70147,76945,0,3588,10342,392455,0
145,3659,74360,75953,1,4092,7336,391367,1
146,3136,74240,76851,2,4732,8932,392228,2
147,3998,69069,75713,2,4958,7872,389324,3
148,3382,73557,84560,1,4688,10111,402581,1
149,3558,71583,80227,2,2915,34372,428133,3
150,3825,72548,78457,2,3672,7650,405216,3
151,3346,72020,78911,0,3630,8031,407903,0
152,5763,78939,76286,0,8196,7202,412239,0
153,3616,76288,73307,0,3545,7295,396105,0
154,4261,74758,78097,1,2654,55329,441098,2
155,4596,73330,76316,1,3931,8001,392023,2
156,3459,72611,76806,1,4727,7037,390559,3
157,3560,69873,77720,2,4099,7323,391689,2
158,3353,74375,81056,1,3842,23057,414609,2
159,3941,72500,78833,1,4918,9894,403229,2
160,4712,70694,77951,1,2960,7993,400422,2
161,3257,74687,82088,1,4730,13819,414535,2
162,3726,77654,82094,1,5006,8057,413047,1
163,3774,74021,80527,1,5000,8675,412634,2
164,3662,74640,74521,1,3720,8248,407449,2
165,3469,77739,81982,1,4999,7364,411434,1
166,3789,79430,78360,1,4453,7467,407876,1
167,4697,74286,80480,1,4998,9485,407449,2
168,3712,71159,78092,1,4977,7265,404106,1
169,3373,78232,75299,1,4611,7650,404348,1
170,3867,75302,81371,0,3715,11951,407334,0
171,14099,65391,72231,1,4471,8480,397189,1
172,4661,72148,76279,1,6752,52221,439619,1
173,3718,71070,78997,1,3676,6877,392960,1
174,3966,77888,77514,1,3845,9398,398167,1
175,3558,68071,76539,1,4966,8062,392461,1
176,3703,72531,73583,0,3945,7782,392961,0
177,3462,75551,79325,2,4941,7859,396912,1
178,3680,74217,79127,1,4346,8210,396674,1
179,4759,70192,79003,1,4784,20506,410111,1
180,3700,71309,79259,1,8246,8162,405207,1
181,4004,73976,78294,1,3947,7139,402847,1
182,3745,75096,75835,1,4830,7755,401950,1
183,3432,74880,76246,1,4868,8119,399515,1
184,3841,75772,77678,1,3956,8481,398109,2
185,4058,73541,82841,0,4037,6592,399254,0
186,3481,72058,77341,1,4731,8580,401393,1
187,3885,72012,78487,1,4005,7447,402320,2
188,3921,74246,84149,1,4088,8093,411100,2
189,3555,78596,75628,1,4005,8366,408511,1
190,12506,64012,81335,1,4213,54300,453401,2
191,3925,74751,83126,1,5039,8112,414418,1
192,3938,80104,74781,1,4857,7988,410142,2
